dataset,year_month,included_hands,total_hands
NL50,2024-02,298604,298604
NL50,2025-01,921885,921885
NL50,2025-02,517978,517978
NL5K,2011-01,50100,262387
NL5K,2011-02,19375,185861
NL5K,2011-03,29250,312295
NL5K,2011-04,31191,222426
NL5K,2011-05,13955,216232
NL5K,2011-06,23920,159273
NL5K,2011-07,21194,227255
NL5K,2011-08,26804,229807
NL5K,2011-09,28666,199457
NL5K,2011-10,41717,170318
NL5K,2011-11,13649,154472
NL5K,2011-12,28126,224113
NL5K,2012-01,27368,181765
NL5K,2012-02,19470,108570
NL5K,2012-03,25555,118520
NL5K,2012-04,36967,115911
NL5K,2012-05,41118,127810
NL5K,2012-06,30325,95685
NL5K,2012-07,18493,99960
NL5K,2012-08,37762,57082
NL5K,2012-09,33891,125963
NL5K,2012-10,16444,87630
NL5K,2012-11,13947,71966
NL5K,2012-12,27520,78474
NL5K,2013-01,32639,101043
NL5K,2013-02,25733,57665
NL5K,2013-03,21745,65311
NL5K,2013-04,40013,59115
NL5K,2013-05,36601,73677
NL5K,2013-06,49936,75453
NL5K,2013-07,75517,121675
NL5K,2013-08,61010,120208
NL5K,2013-09,124812,178638
NL5K,2013-10,79258,149574
NL5K,2013-11,109309,175046
NL5K,2013-12,47894,113542
NL5K,2014-01,74319,120052
NL5K,2014-02,79189,118268
NL5K,2014-03,67897,116968
NL5K,2014-04,71583,97834
NL5K,2014-05,48859,83549
NL5K,2014-06,53057,80934
NL5K,2014-07,37856,66098
NL5K,2014-08,26208,70252
NL5K,2014-09,36565,41214
NL5K,2014-10,33399,33399
NL5K,2014-11,48149,48149
NL5K,2014-12,43082,43082
NL5K,2015-01,57450,57450
NL5K,2015-02,61071,61071
NL5K,2015-03,41122,41122
NL5K,2015-04,40829,40829
NL5K,2015-05,39062,39062
NL5K,2015-06,18956,18956
NL5K,2015-07,31527,31527
NL5K,2015-08,50918,50918
NL5K,2015-09,28826,28826
NL5K,2015-10,47879,47879
NL5K,2015-11,22681,22681
NL5K,2015-12,8397,8397
NL5K,2016-01,17044,17044
NL5K,2016-02,20468,20468
NL5K,2016-03,21230,21230
NL5K,2016-04,24432,24432
NL5K,2016-05,23428,23428
NL5K,2016-06,18355,18355
NL5K,2016-07,24181,24181
NL5K,2016-08,33772,33772
NL5K,2016-09,35780,35780
NL5K,2016-10,27759,27759
NL5K,2016-11,44868,44868
NL5K,2016-12,28963,28963
NL5K,2017-01,30003,30003
NL5K,2017-02,21373,21373
NL5K,2017-03,20530,20530
NL5K,2017-04,30350,30350
NL5K,2017-05,42499,42499
NL5K,2017-06,24004,24004
NL5K,2017-07,22985,22985
NL5K,2017-08,23384,23384
NL5K,2017-09,23102,23102
NL5K,2017-10,29357,29357
NL5K,2017-11,31852,31852
NL5K,2017-12,14874,14874
NL5K,2018-01,16900,16900
NL5K,2018-02,7060,7060
NL5K,2018-03,29182,29182
NL5K,2018-04,22956,22956
NL5K,2018-05,17695,17695
NL5K,2018-06,14045,14045
NL5K,2018-07,18045,18045
NL5K,2018-08,10749,10749
NL5K,2018-09,22525,22525
NL5K,2018-10,26166,26166
NL5K,2018-11,35839,35839
NL5K,2018-12,23295,23295
NL5K,2019-01,18289,18289
NL5K,2019-02,12264,12264
NL5K,2019-03,16348,16348
NL5K,2019-04,20182,20182
NL5K,2019-05,8691,8691
NL5K,2019-06,13592,13592
NL5K,2019-07,8764,8764
NL5K,2019-08,6689,6689
NL5K,2019-09,11995,11995
NL5K,2019-10,14420,14420
NL5K,2019-11,13237,13237
NL5K,2019-12,26811,26811
NL5K,2020-01,17097,17097
NL5K,2020-02,33608,33608
NL5K,2020-03,28028,28028
NL5K,2020-04,16043,16043
NL5K,2020-05,8867,8867
NL5K,2020-06,17770,17770
NL5K,2020-07,10898,10898
NL5K,2020-08,11483,11483
NL5K,2020-09,6966,6966
NL5K,2020-10,8378,8378
NL5K,2020-11,10784,10784
NL5K,2020-12,14042,14042
NL5K,2021-01,9661,9661
NL5K,2021-02,4871,4871
NL5K,2021-03,3215,3215
NL5K,2021-04,3766,3766
NL5K,2021-05,6570,6570
NL5K,2021-06,6945,6945
NL5K,2021-07,14481,14481
NL5K,2021-08,10004,10004
NL5K,2021-09,2684,2684
NL5K,2021-10,7881,7881
NL5K,2021-11,5950,5950
NL5K,2021-12,4365,4365
NL5K,2022-01,992,992
NL5K,2022-02,3271,3271
NL5K,2022-03,1327,1327
NL5K,2022-04,1692,1692
NL5K,2022-05,5482,5482
NL5K,2022-06,2845,2845
NL5K,2022-07,1707,1707
NL5K,2022-08,1951,1951
NL5K,2022-09,2143,2143
NL5K,2022-10,665,665
NL5K,2022-11,793,793
NL5K,2022-12,817,817
NL5K,2023-01,3150,3150
NL5K,2023-02,700,700
NL5K,2023-03,1584,1584
NL5K,2023-04,2109,2109
NL5K,2023-05,437,437
NL5K,2023-06,6914,6914
NL5K,2023-07,4343,4343
NL5K,2023-08,6582,6582
NL5K,2023-09,2849,2849
NL5K,2023-10,4006,4006
NL5K,2023-11,2351,2351
NL5K,2023-12,1908,1908
NL5K,2024-01,6735,6735
NL5K,2024-02,2622,2622
NL5K,2024-03,2977,2977
NL5K,2024-04,3306,3306
NL5K,2024-05,3016,3016
NL5K,2024-06,1089,1089
NL5K,2024-07,3527,3527
NL5K,2024-08,1278,1278
NL5K,2024-09,4889,4889
NL5K,2024-10,2122,2122
NL5K,2024-11,2195,2195
NL5K,2024-12,4850,4850
NL5K,2025-01,3796,3796
NL5K,2025-02,6723,6723
NL5K,2025-03,3471,3471
NL5K,2025-04,7943,7943
NL5K,2025-05,5634,5634
NL5K,2025-06,6293,6293
NL5K,2025-07,4149,4149
NL5K,2025-08,3505,3505
NL5K,2025-09,1532,1532
