dataset,player_name,year,year_index,years_active,hands,hands_total,vpip_pct,pfr_pct,three_bet_pct,fold_to_3bet_pct,bb_fold_pct,bb_call_pct,bb_three_bet_pct,cbet_pct,bb100,d_vpip_pct,d_pfr_pct,d_three_bet_pct,d_bb_fold_pct,d_cbet_pct,d_bb100
NL5K,AlexeSsz,2021,4,4,1030,3978,24.85,18.25,9.37,54.76,63.23,25.16,11.61,68.33,33.17,0.75,0.14000000000000057,-2.5100000000000016,4.279999999999994,-4.400000000000006,29.1
NL5K,Also11,2013,1,6,574,9262,36.93,23.34,10.88,35.48,48.15,40.74,11.11,39.62,5.72,,,,,,
NL5K,Also11,2015,2,6,3284,9262,33.28,19.52,7.95,26.67,48.53,45.17,6.3,46.18,24.77,-3.6499999999999986,-3.8200000000000003,-2.9300000000000006,0.38000000000000256,6.560000000000002,19.05
NL5K,Also11,2016,3,6,648,9262,31.02,18.67,6.0,28.57,41.25,51.25,7.5,54.0,-43.21,-2.2600000000000016,-0.8499999999999979,-1.9500000000000002,-7.280000000000001,7.82,-67.98
NL5K,Also11,2018,4,6,582,9262,33.33,17.35,5.91,37.04,34.48,58.62,6.9,58.33,10.28,2.3099999999999987,-1.3200000000000003,-0.08999999999999986,-6.770000000000003,4.329999999999998,53.49
NL5K,Also11,2019,5,6,3170,9262,33.31,18.8,7.45,37.86,38.43,53.26,8.31,57.5,-12.61,-0.01999999999999602,1.4499999999999993,1.54,3.950000000000003,-0.8299999999999983,-22.89
NL5K,Also11,2021,6,6,1004,9262,28.69,17.03,5.25,42.22,49.29,47.86,2.86,59.32,7.4,-4.620000000000001,-1.7699999999999996,-2.2,10.86,1.8200000000000003,20.009999999999998
NL5K,ArhAngel_29R,2011,1,3,1007,5934,22.94,17.48,6.45,67.57,77.63,15.79,6.58,74.0,-16.5,,,,,,
NL5K,ArhAngel_29R,2013,2,3,3785,5934,24.76,17.83,7.32,51.54,61.3,31.46,7.23,74.15,6.48,1.8200000000000003,0.34999999999999787,0.8700000000000001,-16.33,0.15000000000000568,22.98
NL5K,ArhAngel_29R,2014,3,3,1142,5934,25.04,16.73,9.41,40.63,47.27,44.24,8.48,78.46,-19.47,0.2799999999999976,-1.0999999999999979,2.09,-14.029999999999994,4.309999999999988,-25.95
NL5K,Armada13,2017,1,3,852,2488,31.81,8.92,2.72,33.33,59.71,37.41,2.88,67.86,-32.43,,,,,,
NL5K,Armada13,2018,2,3,1044,2488,30.56,12.93,2.51,14.71,57.32,40.13,2.55,59.32,-43.53,-1.25,4.01,-0.2100000000000004,-2.3900000000000006,-8.54,-11.100000000000001
NL5K,Armada13,2019,3,3,592,2488,28.38,14.86,1.68,34.48,66.67,30.11,3.23,64.52,-53.41,-2.1799999999999997,1.9299999999999997,-0.8299999999999998,9.350000000000001,5.199999999999996,-9.879999999999995
NL5K,AverageGreg,2015,1,6,587,17816,22.83,12.61,3.51,44.44,51.28,44.87,3.85,38.46,44.17,,,,,,
NL5K,AverageGreg,2016,2,6,1724,17816,18.85,12.06,5.41,33.33,68.53,29.08,2.39,59.14,-6.52,-3.979999999999997,-0.5499999999999989,1.9000000000000004,17.25,20.68,-50.69
NL5K,AverageGreg,2017,3,6,2217,17816,18.4,11.37,4.51,47.27,60.69,36.21,3.1,65.63,17.75,-0.45000000000000284,-0.6900000000000013,-0.9000000000000004,-7.840000000000003,6.489999999999995,24.27
NL5K,AverageGreg,2018,4,6,2293,17816,23.64,17.14,8.82,42.11,60.69,32.08,7.23,64.15,-10.66,5.240000000000002,5.770000000000001,4.3100000000000005,0.0,-1.4799999999999898,-28.41
NL5K,AverageGreg,2019,5,6,3140,17816,28.18,19.59,7.0,53.39,50.12,42.41,7.47,60.51,36.75,4.539999999999999,2.4499999999999993,-1.8200000000000003,-10.57,-3.6400000000000077,47.41
NL5K,AverageGreg,2020,6,6,7855,17816,27.92,20.15,9.74,42.68,49.77,41.2,9.02,70.52,11.24,-0.259999999999998,0.5599999999999987,2.74,-0.3499999999999943,10.009999999999998,-25.509999999999998
NL5K,BastianX,2012,1,5,688,9728,15.99,12.65,6.96,69.23,78.7,12.04,9.26,46.67,-23.56,,,,,,
NL5K,BastianX,2015,2,5,3080,9728,21.53,13.02,5.82,49.23,61.31,31.67,7.01,57.98,-4.02,5.540000000000001,0.3699999999999992,-1.1399999999999997,-17.39,11.309999999999995,19.54
NL5K,BastianX,2016,3,5,3549,9728,23.84,14.76,7.21,53.01,56.4,36.2,7.4,58.43,16.09,2.3099999999999987,1.7400000000000002,1.3899999999999997,-4.910000000000004,0.45000000000000284,20.11
NL5K,BastianX,2018,4,5,731,9728,25.85,19.43,10.51,27.78,56.44,34.65,8.91,88.71,-31.41,2.0100000000000016,4.67,3.3,0.03999999999999915,30.279999999999994,-47.5
NL5K,BastianX,2019,5,5,1680,9728,20.48,14.52,6.56,56.0,69.7,26.84,3.46,56.76,9.11,-5.370000000000001,-4.91,-3.95,13.260000000000005,-31.949999999999996,40.519999999999996
NL5K,Belqi,2014,1,4,733,6522,27.15,19.65,7.17,60.61,59.09,29.09,11.82,56.67,0.21,,,,,,
NL5K,Belqi,2018,2,4,1660,6522,25.3,16.81,4.65,44.23,56.56,40.57,2.87,63.71,-21.59,-1.8499999999999979,-2.84,-2.5199999999999996,-2.530000000000001,7.039999999999999,-21.8
NL5K,Belqi,2019,3,4,2898,6522,25.43,17.87,8.57,48.94,54.55,37.8,7.66,64.63,6.55,0.129999999999999,1.0600000000000023,3.92,-2.010000000000005,0.9199999999999946,28.14
NL5K,Belqi,2020,4,4,1231,6522,23.23,15.19,7.03,60.61,53.01,44.81,2.19,65.12,-23.96,-2.1999999999999993,-2.6800000000000015,-1.54,-1.5399999999999991,0.4900000000000091,-30.51
NL5K,BigBlindBets,2018,1,4,9842,21305,24.08,18.94,9.99,56.98,63.48,28.65,7.88,69.67,-4.55,,,,,,
NL5K,BigBlindBets,2019,2,4,6218,21305,25.31,20.18,11.8,47.21,63.49,27.44,9.07,69.84,25.43,1.2300000000000004,1.2399999999999984,1.8100000000000005,0.010000000000005116,0.1700000000000017,29.98
NL5K,BigBlindBets,2020,3,4,3693,21305,24.48,18.63,10.48,57.25,61.18,29.27,9.55,65.07,-8.06,-0.8299999999999983,-1.5500000000000007,-1.3200000000000003,-2.3100000000000023,-4.77000000000001,-33.49
NL5K,BigBlindBets,2021,4,4,1552,21305,27.58,19.33,9.78,63.16,59.17,34.4,6.42,72.5,-35.09,3.099999999999998,0.6999999999999993,-0.7000000000000011,-2.009999999999998,7.430000000000007,-27.03
NL5K,Bit2Easy,2016,1,6,8988,70655,25.23,18.45,7.78,40.27,61.84,32.07,6.1,64.99,8.46,,,,,,
NL5K,Bit2Easy,2017,2,6,22692,70655,25.0,18.82,9.86,44.24,61.89,29.89,8.22,66.96,4.97,-0.23000000000000043,0.370000000000001,2.079999999999999,0.04999999999999716,1.9699999999999989,-3.490000000000001
NL5K,Bit2Easy,2018,3,6,13695,70655,25.91,18.63,10.68,43.61,57.31,34.65,8.03,71.53,16.6,0.9100000000000001,-0.19000000000000128,0.8200000000000003,-4.579999999999998,4.570000000000007,11.630000000000003
NL5K,Bit2Easy,2019,4,6,12828,70655,25.34,19.75,10.25,47.06,60.25,31.1,8.65,73.22,0.13,-0.5700000000000003,1.120000000000001,-0.4299999999999997,2.9399999999999977,1.6899999999999977,-16.470000000000002
